Light,Blue,Broad,Green,Red,Nutrient,nut_ord,Micro_Rep,Treatment,Microcosm,Survived,Mass,JSG,jsgr_neg,filamentous,non_fil,green,crypto,diatom,dino
Broad,0,1,0,0,Low,1,3,Broad_LP,Broad_LP_R3,1,14.9,0.238766029,0.238766029,143000,478142.8571,15428.57143,0,857.1428573,0
Broad,0,1,0,0,Low,1,3,Broad_LP,Broad_LP_R3,1,11.1,0.165162003,0.165162003,143000,478142.8571,15428.57143,0,857.1428573,0
Broad,0,1,0,0,Low,1,3,Broad_LP,Broad_LP_R3,1,12.3,0.190825542,0.190825542,143000,478142.8571,15428.57143,0,857.1428573,0
Broad,0,1,0,0,Low,1,3,Broad_LP,Broad_LP_R3,1,15.1,0.24209941200000001,0.24209941200000001,143000,478142.8571,15428.57143,0,857.1428573,0
Broad,0,1,0,0,Low,1,3,Broad_LP,Broad_LP_R3,1,15.8,0.253428211,0.253428211,143000,478142.8571,15428.57143,0,857.1428573,0
Green,0,0,1,0,High,2,1,Green_HP,Green_HP_R1,1,35.6,0.456512136,0.456512136,11714.28571,673285.7143,54571.42857,857.1428571,142.8571429,0
Green,0,0,1,0,High,2,1,Green_HP,Green_HP_R1,1,39,0.479316138,0.479316138,11714.28571,673285.7143,54571.42857,857.1428571,142.8571429,0
Green,0,0,1,0,High,2,1,Green_HP,Green_HP_R1,1,41.8,0.496649811,0.496649811,11714.28571,673285.7143,54571.42857,857.1428571,142.8571429,0
Green,0,0,1,0,High,2,1,Green_HP,Green_HP_R1,1,13.4,0.212239403,0.212239403,11714.28571,673285.7143,54571.42857,857.1428571,142.8571429,0
Green,0,0,1,0,High,2,1,Green_HP,Green_HP_R1,1,42.9,0.503143683,0.503143683,11714.28571,673285.7143,54571.42857,857.1428571,142.8571429,0
Green,0,0,1,0,High,2,1,Green_HP,Green_HP_R1,1,36,0.459305461,0.459305461,11714.28571,673285.7143,54571.42857,857.1428571,142.8571429,0
Green,0,0,1,0,High,2,1,Green_HP,Green_HP_R1,1,38.8,0.478030788,0.478030788,11714.28571,673285.7143,54571.42857,857.1428571,142.8571429,0
Green,0,0,1,0,High,2,2,Green_HP,Green_HP_R2,0,0,0,-1,1071.428571,0,16321.42857,1785.714285,71.42857142,0
Green,0,0,1,0,High,2,2,Green_HP,Green_HP_R2,0,0,0,-1,1071.428571,0,16321.42857,1785.714285,71.42857142,0
Green,0,0,1,0,High,2,2,Green_HP,Green_HP_R2,0,0,0,-1,1071.428571,0,16321.42857,1785.714285,71.42857142,0
Green,0,0,1,0,High,2,2,Green_HP,Green_HP_R2,0,0,0,-1,1071.428571,0,16321.42857,1785.714285,71.42857142,0
Green,0,0,1,0,High,2,2,Green_HP,Green_HP_R2,0,0,0,-1,1071.428571,0,16321.42857,1785.714285,71.42857142,0
Green,0,0,1,0,High,2,2,Green_HP,Green_HP_R2,0,0,0,-1,1071.428571,0,16321.42857,1785.714285,71.42857142,0
Green,0,0,1,0,High,2,2,Green_HP,Green_HP_R2,0,0,0,-1,1071.428571,0,16321.42857,1785.714285,71.42857142,0
Green,0,0,1,0,High,2,3,Green_HP,Green_HP_R3,1,39.5,0.482500894,0.482500894,182142.8571,1714.285714,214714.2857,0,428.5714286,0
Green,0,0,1,0,High,2,3,Green_HP,Green_HP_R3,1,38.4,0.475440091,0.475440091,182142.8571,1714.285714,214714.2857,0,428.5714286,0
Green,0,0,1,0,High,2,3,Green_HP,Green_HP_R3,1,55.9,0.569316821,0.569316821,182142.8571,1714.285714,214714.2857,0,428.5714286,0
Green,0,0,1,0,High,2,3,Green_HP,Green_HP_R3,1,56.6,0.572427973,0.572427973,182142.8571,1714.285714,214714.2857,0,428.5714286,0
